,id,env_id,algo_id,dataset_type_id,qvals_avg_error,qvals_summed_error,rollouts_rewards_final,force_dataset_coverage,dataset_entropy,dataset_coverage,kl_dist,chi_dist,info_text
225,gridEnv2_offline_dqn_2022-01-22-22-13-47,gridEnv2,offline_dqn,boltzmann,0.051027440127648066,16.328780840847383,37.0,True,4.061365187175749,1.0,1.5586678000805125,4.187121538025251,"Exp-id: gridEnv2_offline_dqn_2022-01-22-22-13-47<br>Environment: gridEnv2<br>Algorithm: offline_dqn<br>Dataset type: boltzmann(temperature=2.0,force_coverage=True)<br>Dataset coverage: 1.00<br>Dataset entropy: 4.06<br>Q-values avg error: 0.05<br>Q-values summed error: 16.33<br>Rollouts rewards: 37.00<br>KL-dist: 1.56"
226,gridEnv2_offline_dqn_2022-01-22-22-20-53,gridEnv2,offline_dqn,boltzmann,0.08019094161984262,25.66110131834964,37.0,True,3.3216042279849507,1.0,1.2944315603305303,2.774068739626325,"Exp-id: gridEnv2_offline_dqn_2022-01-22-22-20-53<br>Environment: gridEnv2<br>Algorithm: offline_dqn<br>Dataset type: boltzmann(temperature=3.0,force_coverage=True)<br>Dataset coverage: 1.00<br>Dataset entropy: 3.32<br>Q-values avg error: 0.08<br>Q-values summed error: 25.66<br>Rollouts rewards: 37.00<br>KL-dist: 1.29"
227,gridEnv2_offline_dqn_2022-01-22-22-27-57,gridEnv2,offline_dqn,boltzmann,0.060705950703633146,19.425904225162608,37.0,True,2.954460331346607,1.0,1.1968920003010004,2.3896277497259715,"Exp-id: gridEnv2_offline_dqn_2022-01-22-22-27-57<br>Environment: gridEnv2<br>Algorithm: offline_dqn<br>Dataset type: boltzmann(temperature=4.0,force_coverage=True)<br>Dataset coverage: 1.00<br>Dataset entropy: 2.95<br>Q-values avg error: 0.06<br>Q-values summed error: 19.43<br>Rollouts rewards: 37.00<br>KL-dist: 1.20"
228,gridEnv2_offline_dqn_2022-01-22-22-34-54,gridEnv2,offline_dqn,boltzmann,0.05591785714131077,17.893714285219446,37.0,True,2.7426730173511706,1.0,1.1521227162761867,2.2501530889204227,"Exp-id: gridEnv2_offline_dqn_2022-01-22-22-34-54<br>Environment: gridEnv2<br>Algorithm: offline_dqn<br>Dataset type: boltzmann(temperature=5.0,force_coverage=True)<br>Dataset coverage: 1.00<br>Dataset entropy: 2.74<br>Q-values avg error: 0.06<br>Q-values summed error: 17.89<br>Rollouts rewards: 37.00<br>KL-dist: 1.15"
229,gridEnv2_offline_dqn_2022-01-22-22-41-52,gridEnv2,offline_dqn,boltzmann,0.07103665242033358,22.731728774506745,37.0,True,2.607296062654323,1.0,1.1274166279299334,2.161539315568276,"Exp-id: gridEnv2_offline_dqn_2022-01-22-22-41-52<br>Environment: gridEnv2<br>Algorithm: offline_dqn<br>Dataset type: boltzmann(temperature=6.0,force_coverage=True)<br>Dataset coverage: 1.00<br>Dataset entropy: 2.61<br>Q-values avg error: 0.07<br>Q-values summed error: 22.73<br>Rollouts rewards: 37.00<br>KL-dist: 1.13"
230,gridEnv2_offline_dqn_2022-01-22-22-48-51,gridEnv2,offline_dqn,boltzmann,0.09200862923033659,29.442761353707706,37.0,True,2.5362519946068733,1.0,1.1200512028466814,2.1399252342966646,"Exp-id: gridEnv2_offline_dqn_2022-01-22-22-48-51<br>Environment: gridEnv2<br>Algorithm: offline_dqn<br>Dataset type: boltzmann(temperature=7.0,force_coverage=True)<br>Dataset coverage: 1.00<br>Dataset entropy: 2.54<br>Q-values avg error: 0.09<br>Q-values summed error: 29.44<br>Rollouts rewards: 37.00<br>KL-dist: 1.12"
231,gridEnv2_offline_dqn_2022-01-22-22-55-57,gridEnv2,offline_dqn,boltzmann,0.1561848099279637,49.979139176948394,37.0,True,2.488130324182281,1.0,1.1148701423873553,2.1298547718910177,"Exp-id: gridEnv2_offline_dqn_2022-01-22-22-55-57<br>Environment: gridEnv2<br>Algorithm: offline_dqn<br>Dataset type: boltzmann(temperature=8.0,force_coverage=True)<br>Dataset coverage: 1.00<br>Dataset entropy: 2.49<br>Q-values avg error: 0.16<br>Q-values summed error: 49.98<br>Rollouts rewards: 37.00<br>KL-dist: 1.11"
232,gridEnv2_offline_dqn_2022-01-22-23-03-03,gridEnv2,offline_dqn,boltzmann,0.07207421769511574,23.06374966243704,37.0,True,2.4593808312942533,1.0,1.1104228255072526,2.1150396090427828,"Exp-id: gridEnv2_offline_dqn_2022-01-22-23-03-03<br>Environment: gridEnv2<br>Algorithm: offline_dqn<br>Dataset type: boltzmann(temperature=9.0,force_coverage=True)<br>Dataset coverage: 1.00<br>Dataset entropy: 2.46<br>Q-values avg error: 0.07<br>Q-values summed error: 23.06<br>Rollouts rewards: 37.00<br>KL-dist: 1.11"
233,gridEnv2_offline_dqn_2022-01-22-23-09-59,gridEnv2,offline_dqn,boltzmann,0.08127668986414927,26.008540756527765,37.0,True,2.4390488521813958,1.0,1.1067398765113636,2.1047736855076664,"Exp-id: gridEnv2_offline_dqn_2022-01-22-23-09-59<br>Environment: gridEnv2<br>Algorithm: offline_dqn<br>Dataset type: boltzmann(temperature=10.0,force_coverage=True)<br>Dataset coverage: 1.00<br>Dataset entropy: 2.44<br>Q-values avg error: 0.08<br>Q-values summed error: 26.01<br>Rollouts rewards: 37.00<br>KL-dist: 1.11"
234,gridEnv2_offline_cql_2022-02-07-01-55-37,gridEnv2,offline_cql,dirichlet,6.698904811141189,2143.64953956518,0.0,False,3.3079811119291387,0.49615384615384617,11.730840961465159,5508.164284399202,"Exp-id: gridEnv2_offline_cql_2022-02-07-01-55-37<br>Environment: gridEnv2<br>Algorithm: offline_cql<br>Dataset type: dirichlet(alpha=0.1,force_coverage=False)<br>Dataset coverage: 0.50<br>Dataset entropy: 3.31<br>Q-values avg error: 6.70<br>Q-values summed error: 2143.65<br>Rollouts rewards: 0.00<br>KL-dist: 11.73"
